match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Marathon Bet,3.38,25.57
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Nordic Bet,3.25,24.39
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Betsson,3.35,25.31
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,888sport,3.4,25.75
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,William Hill,3.3,24.85
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Everygame,3.35,25.31
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Coolbet,3.57,27.15
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Parions Sport (FR),3.3,24.85
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Matchbook,3.5,26.59
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,GTbets,3.38,25.57
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,BetOnline.ag,3.36,25.4
Crystal Palace vs Nottingham Forest,Crystal Palace,Unibet,2.23,Nottingham Forest,Betclic,3.33,25.13
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Pinnacle,3.39,24.63
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,1xBet,3.44,25.06
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Winamax (FR),3.3,23.83
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Winamax (DE),3.35,24.28
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,MyBookie.ag,3.28,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Tipico,3.3,23.83
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Betfair,3.5,25.56
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Marathon Bet,3.38,24.54
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Unibet,3.45,25.14
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Betsson,3.35,24.28
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,888sport,3.4,24.72
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,William Hill,3.3,23.83
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Everygame,3.35,24.28
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Coolbet,3.57,26.12
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Parions Sport (FR),3.3,23.83
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Matchbook,3.5,25.56
